MAX WIND SPEED,MIN PRESSURE,MAX CATEGORY
155,879,5
155,879,5
160,882,5
170,882,5
170,884,5
170,884,5
150,885,5
160,890,5
145,892,5
160,892,5
155,895,5
170,895,5
170,895,5
170,895,5
170,895,5
155,896,5
155,896,5
140,898,5
140,898,5
140,898,5
140,898,5
140,898,5
140,898,5
140,898,5
140,898,5
140,898,5
140,898,5
140,898,5
140,898,5
140,898,5
165,899,5
165,899,5
140,900,5
150,900,5
150,902,5
150,902,5
155,902,5
155,902,5
160,903,5
160,903,5
135,904,4
135,904,4
135,904,4
135,904,4
135,904,4
150,904,5
150,904,5
155,907,5
155,907,5
155,907,5
155,907,5
155,907,5
155,907,5
155,907,5
155,907,5
150,908,5
150,908,5
150,908,5
150,908,5
130,910,4
130,910,4
130,910,4
130,910,4
130,910,4
130,910,4
145,910,5
145,910,5
145,910,5
145,910,5
150,911,5
150,911,5
150,911,5
150,911,5
150,911,5
135,913,4
140,914,5
145,914,5
145,914,5
155,914,5
155,914,5
140,915,5
140,915,5
125,916,4
125,916,4
125,916,4
125,916,4
125,916,4
125,916,4
125,916,4
125,916,4
125,916,4
125,916,4
130,916,4
140,918,5
140,918,5
140,918,5
140,918,5
140,918,5
140,918,5
140,918,5
140,918,5
140,918,5
140,918,5
140,918,5
140,918,5
140,918,5
140,918,5
140,918,5
140,918,5
140,918,5
140,918,5
140,918,5
140,918,5
140,919,5
140,921,5
120,922,4
135,922,4
135,922,4
135,922,4
135,922,4
135,922,4
150,922,5
150,922,5
140,923,5
140,923,5
130,924,4
130,924,4
135,924,4
150,924,5
130,925,4
130,926,4
130,926,4
130,926,4
130,926,4
130,926,4
130,926,4
130,926,4
115,927,4
125,927,4
125,927,4
125,927,4
130,927,4
130,927,4
140,927,5
120,928,4
130,928,4
130,928,4
130,928,4
125,929,4
125,929,4
125,929,4
125,929,4
125,929,4
125,929,4
130,929,4
130,929,4
135,929,4
135,929,4
140,929,5
140,929,5
120,930,4
125,930,4
125,930,4
130,930,4
130,930,4
130,930,4
130,930,4
130,930,4
130,930,4
130,930,4
125,931,4
125,931,4
130,931,4
130,931,4
115,932,4
120,933,4
120,933,4
120,933,4
120,933,4
120,933,4
120,933,4
125,933,4
130,933,4
135,933,4
130,934,4
130,934,4
130,934,4
130,934,4
145,934,5
130,935,4
130,935,4
125,936,4
115,937,4
115,937,4
115,937,4
115,937,4
115,937,4
115,937,4
115,937,4
115,937,4
115,937,4
125,937,4
125,937,4
130,937,4
135,937,4
140,937,5
140,937,5
110,938,3
115,938,4
115,938,4
120,938,4
125,938,4
125,938,4
125,938,4
125,938,4
130,938,4
115,940,4
115,940,4
115,940,4
125,940,4
140,940,5
140,940,5
120,941,4
130,941,4
120,942,4
120,942,4
110,943,3
115,943,4
125,943,4
125,943,4
115,944,4
120,944,4
120,944,4
125,944,4
125,944,4
115,945,4
120,945,4
120,945,4
105,946,3
110,946,3
115,948,4
110,949,3
115,949,4
115,949,4
115,949,4
115,949,4
100,950,3
100,950,3
105,950,3
105,950,3
150,950,5
115,951,4
100,952,3
105,952,3
110,952,3
105,953,3
110,953,3
100,954,3
105,954,3
115,954,4
100,955,3
100,955,3
105,955,3
105,955,3
110,955,3
115,955,4
115,955,4
120,955,4
130,955,4
105,957,3
115,958,4
100,959,3
100,959,3
105,960,3
110,960,3
120,960,4
145,960,5
100,961,3
100,962,3
80,963,2
80,963,2
80,963,2
80,963,2
80,963,2
80,963,2
100,963,3
100,964,3
75,967,2
75,967,2
70,970,2
70,970,2
100,970,3
100,970,3
155,970,5
100,971,3
110,971,3
65,974,2
65,974,2
65,974,2
65,974,2
65,974,2
65,974,2
65,974,2
65,974,2
65,974,2
65,974,2
140,974,5
130,975,4
150,975,5
155,975,5
70,976,2
70,976,2
70,976,2
70,976,2
70,976,2
70,976,2
35,978,1
35,978,1
35,978,1
35,978,1
35,978,1
60,978,1
60,978,1
60,978,1
60,978,1
100,978,3
60,980,1
60,980,1
100,980,3
100,980,3
125,980,4
125,980,4
130,980,4
130,980,4
140,980,5
35,982,1
35,982,1
35,982,1
35,982,1
35,982,1
55,982,1
55,982,1
55,982,1
70,982,2
70,982,2
140,982,5
145,982,5
145,982,5
150,982,5
150,982,5
30,984,1
30,984,1
30,984,1
30,984,1
30,984,1
30,984,1
55,984,1
55,984,1
55,984,1
55,984,1
55,984,1
55,984,1
55,984,1
55,984,1
55,984,1
30,985,1
30,985,1
30,985,1
50,985,1
50,985,1
50,985,1
50,985,1
50,985,1
50,985,1
50,985,1
50,985,1
50,985,1
50,985,1
50,985,1
50,985,1
50,985,1
50,985,1
50,985,1
110,985,3
115,985,4
125,985,4
125,985,4
125,985,4
130,985,4
140,985,5
140,985,5
140,985,5
140,985,5
140,985,5
27,986,1
27,986,1
27,986,1
27,986,1
27,986,1
30,986,1
30,986,1
30,986,1
30,986,1
30,986,1
30,986,1
30,986,1
150,987,5
25,988,1
25,988,1
25,988,1
25,988,1
25,988,1
25,988,1
25,988,1
25,988,1
25,988,1
25,988,1
25,988,1
25,988,1
25,988,1
25,988,1
25,988,1
25,988,1
25,988,1
30,988,1
30,988,1
30,988,1
30,988,1
30,988,1
30,988,1
30,988,1
30,988,1
30,988,1
30,988,1
30,988,1
30,988,1
30,988,1
30,988,1
30,988,1
30,988,1
30,988,1
30,988,1
30,988,1
30,988,1
30,988,1
30,988,1
30,988,1
30,988,1
30,988,1
30,988,1
35,988,1
35,988,1
35,988,1
35,988,1
35,988,1
35,988,1
35,988,1
45,988,1
45,988,1
45,988,1
45,988,1
65,988,2
120,988,4
130,988,4
45,989,1
45,989,1
45,989,1
45,989,1
45,989,1
45,989,1
45,989,1
45,989,1
45,989,1
45,989,1
45,989,1
45,989,1
45,989,1
45,989,1
55,989,1
55,989,1
150,989,5
20,990,1
20,990,1
20,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
25,990,1
30,990,1
30,990,1
30,990,1
30,990,1
30,990,1
30,990,1
30,990,1
30,990,1
30,990,1
30,990,1
30,990,1
30,990,1
30,990,1
30,990,1
33,990,1
33,990,1
33,990,1
33,990,1
33,990,1
125,990,4
125,990,4
130,990,4
135,990,4
135,990,4
140,990,5
140,990,5
140,990,5
140,990,5
140,990,5
145,990,5
30,991,1
30,991,1
30,991,1
30,991,1
45,991,1
45,991,1
45,991,1
140,991,5
160,991,5
160,991,5
160,991,5
20,992,1
20,992,1
20,992,1
20,992,1
20,992,1
25,992,1
25,992,1
25,992,1
25,992,1
25,992,1
25,992,1
25,992,1
25,992,1
25,992,1
25,992,1
25,992,1
25,992,1
25,992,1
25,992,1
25,992,1
25,992,1
25,992,1
25,992,1
25,992,1
25,992,1
25,992,1
25,992,1
25,992,1
25,992,1
30,992,1
30,992,1
30,992,1
30,992,1
40,992,1
40,992,1
40,992,1
40,992,1
120,992,4
120,992,4
125,992,4
125,992,4
125,992,4
135,992,4
140,992,5
140,992,5
150,992,5
150,992,5
175,992,5
25,993,1
25,993,1
25,993,1
25,993,1
25,993,1
25,993,1
25,993,1
27,993,1
27,993,1
27,993,1
27,993,1
27,993,1
40,993,1
40,993,1
40,993,1
40,993,1
130,993,4
25,994,1
25,994,1
25,994,1
25,994,1
